Genes,CTRL_IgG_1,CTRL_IgG_2,TERT_IR_1,TERT_IR_2
SRC,1.601028917,1.631340785,2.873544258,1.271483504
SPATA5,1.6453599,1.348175878,4.243059587,4.105525679
ARPC3,4.127042014,4.027250163,5.150031979,5.061633112
ALDH18A1,1.508227689,2.430586851,4.255658207,3.95896312
TRA2A,1.659895937,3.342441159,5.056755713,4.841133817
CSTA,1.470337549,2.650096294,1.224437749,1.753581506
CCT3,3.591673071,3.340041189,4.981744197,4.90357889
DHX37,1.108640262,1.711846785,4.183289126,3.97648738
AP2B1,1.291402945,2.404644678,4.252632528,4.074089323
SNW1,1.273110799,1.909758047,4.238054812,4.153988654
DNTTIP2,1.461931575,1.768553149,3.338581018,2.667150417
MRPS26,1.357040654,1.833487433,5.01626517,4.890655346
PLK1,2.041914685,1.511214289,3.792176287,3.596063217
SMTN,1.691663289,1.163755293,1.958276742,1.297288188
PTPN13,2.191349922,2.808007979,4.033724677,3.635294978
MRPS2,2.033790188,1.370951491,4.481211766,4.06538954
TGM3,1.096977876,1.554316572,1.769791064,1.930226399
PRRC2A,1.503787717,1.978603394,4.458662179,4.271786298
MCM3,2.120268759,2.417474269,4.315331333,4.229330726
MCM6,1.909738159,1.982790741,3.476880482,3.460914027
RBM15,1.395895383,1.372511792,3.655162392,3.451028942
HSPB1,3.159759923,3.196039421,5.17631553,5.086104093
MRPS23,1.365122412,1.285937221,4.753176289,4.791816925
NAT10,1.613776274,1.400879294,4.031458125,4.047697293
PRKDC,1.486450306,2.441555226,4.621383132,4.443569151
ZGPAT,1.773687345,1.453857196,1.067221991,1.306127575
MRPS5,1.557626558,3.143110152,3.171962666,3.580562162
TPRN,1.494180741,1.619666446,3.654089072,3.365772111
LYZ,3.676791675,3.577143459,3.963364603,3.643948344
SRP68,1.812021264,0.984980829,3.443236316,3.249734345
ATAD3B,2.837915352,3.478934442,4.453727301,4.234116634
DST,1.687035629,1.662840785,2.212682167,1.741620258
MIB1,1.459360219,1.347343619,3.298635214,3.036766379
ZCCHC8,2.597105546,1.589266281,3.835103475,3.748103058
RPS14,4.489031607,4.562092116,5.329665264,5.497759445
