Genes,293GFPnoIR1_S1,293GFPnoIR2_S2,293GFPnoIR3_S3,293HATertnoIR1_S4,293HATertnoIR2_S5,293HATertnoIR3_S6,293GFPIR1_S7,293GFPIR2_S8,293GFPIR3_S9,293HATertIR1_S10,293HATertIR2_S11,293HATertIR3_S12
AC083902.1,0,0,0,2,1,0,0,0,0,0,0,0
C4orf54,0,2,2,0,0,0,0,0,0,0,2,0
DAPP1,0,1,4,0,2,4,1,0,1,0,0,0
LAMTOR3,1093,889,2057,1795,2661,1681,1597,1983,1142,1167,662,521
DNAJB14,754,454,1768,1298,1812,1480,1282,1414,928,798,562,451
H2AFZ,15961,15870,29737,23216,32155,20176,16937,18506,8135,10346,4556,3822
AC097460.1,28,27,37,24,39,27,40,27,27,8,11,2
DDIT4L,184,188,280,200,315,240,180,200,126,124,74,52
AP001961.1,0,0,0,0,0,0,0,0,0,0,0,0
EMCN,0,0,0,0,0,0,0,2,0,0,0,0
AC097459.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01216,0,0,0,0,0,0,0,0,0,0,0,0
LINC01217,0,0,0,0,0,0,0,0,0,0,0,0
LINC01218,0,0,0,0,0,0,0,0,0,0,0,0
PPP3CA,1363,1167,3117,2566,3863,2596,2377,3003,1643,1893,1036,674
AP001816.1,74,77,108,91,153,78,99,134,41,60,52,14
BANK1,0,0,2,0,0,2,0,0,0,0,0,0
AC084277.1,0,0,0,0,0,0,0,0,0,0,0,0
AP002075.1,0,0,0,0,0,0,0,0,0,0,0,0
SLC39A8,1394,1261,2749,1921,2808,1823,1885,2409,1156,1284,693,515
AC098487.1,20,9,16,10,27,18,14,19,2,10,1,2
AF213884.3,19,17,28,21,31,22,4,9,4,6,0,0
NFKB1,975,1170,1983,1622,2500,1450,1512,1754,916,1051,606,397
MANBA,595,682,955,722,1168,812,777,943,574,660,330,274
UBE2D3,8990,7298,17193,14911,22495,13772,14259,18597,9597,12164,6793,4496
AC018797.3,10,2,13,10,13,18,18,5,5,2,1,2
UBE2D3-AS1,17,42,81,61,61,47,43,61,28,29,8,3
CISD2,903,1037,2268,1773,2705,1661,1997,2471,1244,1707,881,639
SLC9B1,20,8,18,8,25,15,9,17,12,10,8,3
SLC9B2,509,506,1044,791,1095,730,686,962,501,602,342,224
BDH2,631,658,1066,811,1310,783,791,956,451,530,260,211
CENPE,3144,2791,6116,5529,7765,5386,5720,6846,4337,3765,2832,2218
LINC02428,0,0,0,0,6,0,0,0,0,0,0,0
AC105460.2,0,0,0,0,0,0,0,0,0,0,0,0
AC105460.1,0,0,0,0,0,0,0,0,0,0,0,0
TACR3,0,0,0,0,0,0,0,0,0,0,0,0
AC004047.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02503,0,0,0,0,0,4,0,2,0,0,0,0
AC004052.1,0,0,0,0,0,0,0,0,0,0,0,0
CXXC4,170,137,334,269,387,327,298,386,287,255,140,134
CXXC4-AS1,2,3,2,0,2,2,0,2,0,2,2,0
AC004063.1,1,0,0,0,0,0,0,1,0,0,0,0
AC004053.1,0,0,0,0,0,0,0,0,0,0,0,0
AC096577.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004069.1,5,18,23,20,66,26,10,35,25,16,14,10
TET2,872,736,1968,1349,2092,1401,1379,1572,821,744,546,387
TET2-AS1,0,1,0,0,2,0,1,1,2,0,0,0
PPA2,3328,3849,5958,4671,7239,4630,4104,5452,2423,3324,1487,1078
AC004066.2,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF38,6,8,17,8,21,27,9,15,11,15,7,7
ARHGEF38-IT1,0,0,0,0,0,0,0,0,0,0,0,0
INTS12,630,724,1245,875,1381,855,969,1145,605,735,437,242
GSTCD,1018,941,1982,1942,2787,1758,1702,1804,892,1065,592,417
AC008243.1,1,0,1,4,5,8,4,2,3,4,6,1
NPNT,240,272,488,278,536,342,315,514,259,296,152,114
AC109361.2,1,0,0,0,0,1,1,2,0,0,0,0
AC109361.1,0,0,0,2,10,0,1,4,3,0,0,0
TBCK,415,443,895,595,975,719,637,758,378,447,242,175
AIMP1,2548,2537,5138,4369,6439,4197,3915,4919,2669,2996,1768,1195
GIMD1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02173,0,0,0,0,0,0,0,0,0,0,0,0
AC092445.1,0,4,0,1,1,0,0,0,0,0,0,0
DKK2,18,14,32,16,26,22,18,22,14,12,8,4
AC104663.1,0,0,0,0,0,0,0,0,0,0,0,0
PAPSS1,1480,1761,2874,2328,3597,2391,2067,2566,1334,1627,794,645
SGMS2,501,385,1321,938,1351,955,859,987,598,520,289,248
AC096564.1,14,15,44,34,53,31,46,34,30,20,11,10
CYP2U1,258,278,512,384,572,390,341,463,230,251,121,72
AC096564.2,7,4,3,0,2,6,2,4,0,2,2,0
HADH,2587,3094,5200,3879,6123,3973,3627,4599,2187,2561,1238,993
LEF1,957,1010,1945,1641,2658,1486,1756,2453,1188,1421,835,559
LEF1-AS1,12,33,28,27,33,35,28,25,16,18,4,5
RPL34-AS1,8,8,12,6,3,8,6,7,4,2,2,2
RPL34,14957,18305,25300,17237,27736,16501,16211,23127,10660,14740,6024,5235
